"SampleName","File","Directory","FilePath","Success","Issues","Title"
"Sample-1","Sample-1.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-1.json","False","Missing input properties: myObject","Create a new object with add"
"Sample-100","Sample-100.json","remove","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\remove\Sample-100.json","False","Missing input properties: data","Remove null values"
"Sample-101","Sample-101.json","merge","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\merge\Sample-101.json","False","System.Object[]","Deep merge nested objects"
"Sample-102","Sample-102.json","decisionTable","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\decisionTable\Sample-102.json","False","Missing input properties: applications","Decision table for loan approval"
"Sample-103","Sample-103.json","datetime","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\datetime\Sample-103.json","False","Missing input properties: schedule","Create specific datetime values"
"Sample-104","Sample-104.json","fetch","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\fetch\Sample-104.json","False","Missing input properties: data","Fetch multiple values to summary"
"Sample-105","Sample-105.json","fetch","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\fetch\Sample-105.json","False","Missing input properties: test","Fetch array elements by index"
"Sample-106","Sample-106.json","math","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math\Sample-106.json","False","Missing input properties: calc","Floor, sqrt, and power functions"
"Sample-107","Sample-107.json","math","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math\Sample-107.json","False","Missing input properties: stats","Modulo, average, and sum functions"
"Sample-108","Sample-108.json","newGuid","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\newGuid\Sample-108.json","False","Missing input properties: database","Generate GUIDs for database records"
"Sample-109","Sample-109.json","newGuid","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\newGuid\Sample-109.json","False","Missing input properties: record","Create composite GUID keys"
"Sample-110","Sample-110.json","parse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\parse\Sample-110.json","False","Missing input properties: raw","Parse complex nested JSON"
"Sample-111","Sample-111.json","parse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\parse\Sample-111.json","False","Missing input properties: strings","Parse array of JSON strings"
"Sample-112","Sample-112.json","partial","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\partial\Sample-112.json","False","Missing input properties: fullData","Partial for API response filtering"
"Sample-113","Sample-113.json","partial","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\partial\Sample-113.json","False","Missing input properties: tasks","Partial for lightweight object copies"
"Sample-114","Sample-114.json","promote","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\promote\Sample-114.json","False","Missing input properties: response","Promote error codes to objects"
"Sample-115","Sample-115.json","promote","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\promote\Sample-115.json","False","Missing input properties: data","Promote with metadata wrapping"
"Sample-116","Sample-116.json","toString","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\toString\Sample-116.json","False","Missing input properties: settings","Convert object to JSON string"
"Sample-117","Sample-117.json","toString","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\toString\Sample-117.json","False","Missing input properties: post","Convert array to string"
"Sample-118","Sample-118.json","indirect","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\indirect\Sample-118.json","False","Missing input properties: result","Indirect reference to dynamic path"
"Sample-119","Sample-119.json","indirect","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\indirect\Sample-119.json","False","Missing input properties: selectedPrice","Indirect with computed path from data"
"Sample-120","Sample-120.json","indirect","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\indirect\Sample-120.json","False","Missing input properties: dbHost","Indirect for configuration lookup"
"Sample-121","Sample-121.json","indirect","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\indirect\Sample-121.json","False","Missing input properties: selectedColor","Indirect array element access"
"Sample-122","Sample-122.json","indirect","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\indirect\Sample-122.json","False","Missing input properties: contactEmail","Indirect with nested object navigation"
"Sample-133","Sample-133.json","flatten","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\flatten\Sample-133.json","False","System.Object[]","Flatten nested object to flat structure"
"Sample-134","Sample-134.json","flatten","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\flatten\Sample-134.json","False","System.Object[]","Flatten with custom delimiter"
"Sample-135","Sample-135.json","flatten","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\flatten\Sample-135.json","False","System.Object[]","Flatten specific path only"
"Sample-136","Sample-136.json","flatten","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\flatten\Sample-136.json","False","System.Object[]","Flatten array elements"
"Sample-137","Sample-137.json","flatten","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\flatten\Sample-137.json","False","System.Object[]","Flatten deeply nested config"
"Sample-138","Sample-138.json","resolve","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\resolve\Sample-138.json","False","System.Object[]","Resolve references in object"
"Sample-139","Sample-139.json","resolve","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\resolve\Sample-139.json","False","System.Object[]","Resolve multiple references"
"Sample-140","Sample-140.json","resolve","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\resolve\Sample-140.json","False","System.Object[]","Resolve with external lookup"
"Sample-141","Sample-141.json","resolve","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\resolve\Sample-141.json","False","System.Object[]","Resolve array of references"
"Sample-142","Sample-142.json","resolve","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\resolve\Sample-142.json","False","System.Object[]","Resolve nested references"
"Sample-143","Sample-143.json","restore","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\restore\Sample-143.json","False","System.Object[]","Restore flattened object to nested structure"
"Sample-144","Sample-144.json","restore","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\restore\Sample-144.json","False","System.Object[]","Restore with custom delimiter"
"Sample-145","Sample-145.json","restore","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\restore\Sample-145.json","False","System.Object[]","Restore specific path only"
"Sample-146","Sample-146.json","restore","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\restore\Sample-146.json","False","System.Object[]","Restore configuration settings"
"Sample-147","Sample-147.json","restore","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\restore\Sample-147.json","False","System.Object[]","Restore API response to nested object"
"Sample-148","Sample-148.json","toCsv","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\toCsv\Sample-148.json","False","System.Object[]","Convert JSON array to CSV new"
"Sample-149","Sample-149.json","toCsv","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\toCsv\Sample-149.json","False","System.Object[]","Convert with custom delimiter"
"Sample-150","Sample-150.json","toCsv","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\toCsv\Sample-150.json","False","System.Object[]","Export with header option"
"Sample-151","Sample-151.json","toCsv","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\toCsv\Sample-151.json","False","System.Object[]","Convert selected fields only"
"Sample-152","Sample-152.json","toCsv","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\toCsv\Sample-152.json","False","System.Object[]","Export with quotes for special characters"
"Sample-153","Sample-153.json","ifElse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\ifElse\Sample-153.json","False","System.Object[]","IfElse based on value check"
"Sample-154","Sample-154.json","ifElse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\ifElse\Sample-154.json","False","System.Object[]","IfElse for discount calculation"
"Sample-155","Sample-155.json","ifElse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\ifElse\Sample-155.json","False","System.Object[]","IfElse for status assignment"
"Sample-156","Sample-156.json","ifElse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\ifElse\Sample-156.json","False","System.Object[]","IfElse with string condition"
"Sample-157","Sample-157.json","ifElse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\ifElse\Sample-157.json","False","System.Object[]","IfElse for access control"
"Sample-158","Sample-158.json","compare","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\compare\Sample-158.json","False","System.Object[]","Compare two objects for differences"
"Sample-159","Sample-159.json","compare","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\compare\Sample-159.json","False","System.Object[]","Compare arrays for changes"
"Sample-160","Sample-160.json","compare","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\compare\Sample-160.json","False","System.Object[]","Compare nested objects"
"Sample-161","Sample-161.json","compare","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\compare\Sample-161.json","False","System.Object[]","Compare with ignore option"
"Sample-162","Sample-162.json","compare","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\compare\Sample-162.json","False","System.Object[]","Compare configuration versions"
"Sample-163","Sample-163.json","scriptPath","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\scriptPath\Sample-163.json","False","System.Object[]","ScriptPath - Track array item paths"
"Sample-164","Sample-164.json","scriptPath","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\scriptPath\Sample-164.json","False","System.Object[]","ScriptPath - Track nested object paths"
"Sample-165","Sample-165.json","scriptPath","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\scriptPath\Sample-165.json","False","System.Object[]","ScriptPath - Build reference map"
"Sample-166","Sample-166.json","scriptPath","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\scriptPath\Sample-166.json","False","System.Object[]","ScriptPath - Conditional logic with path"
"Sample-167","Sample-167.json","scriptPath","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\scriptPath\Sample-167.json","False","System.Object[]","ScriptPath - Audit trail with paths"
"Sample-178","Sample-178.json","math-ext","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math-ext\Sample-178.json","False","System.Object[]","Median - Calculate median value"
"Sample-179","Sample-179.json","math-ext","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math-ext\Sample-179.json","False","System.Object[]","Median - Array median"
"Sample-180","Sample-180.json","math-ext","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math-ext\Sample-180.json","False","System.Object[]","Calculate - Complex expression"
"Sample-181","Sample-181.json","math-ext","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math-ext\Sample-181.json","False","System.Object[]","Calculate - Formula evaluation"
"Sample-182","Sample-182.json","math-ext","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math-ext\Sample-182.json","False","System.Object[]","Sum - Total array values"
"Sample-183","Sample-183.json","math-ext","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math-ext\Sample-183.json","False","System.Object[]","Count - Count array elements"
"Sample-184","Sample-184.json","math-ext","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math-ext\Sample-184.json","False","System.Object[]","Subtract - Subtract two values"
"Sample-185","Sample-185.json","math-ext","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math-ext\Sample-185.json","False","System.Object[]","Ceiling - Round up to integer"
"Sample-186","Sample-186.json","math-ext","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math-ext\Sample-186.json","False","System.Object[]","Pow - Power calculation"
"Sample-2","Sample-2.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-2.json","False","Missing input properties: sample","Add a property to an existing object. (value: object)"
"Sample-20","Sample-20.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-20.json","False","Missing input properties: sample","Copy singe value as an array when array doesn't exist"
"Sample-21","Sample-21.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-21.json","False","Missing input properties: sample","Move singe value as an array when array doesn't exist"
"Sample-22","Sample-22.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-22.json","False","Missing input properties: sample","Move multiple values as an array when array doesn't exist"
"Sample-23","Sample-23.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-23.json","False","Missing input properties: sample","Copy multiple values as an array when array doesn't exist"
"Sample-24","Sample-24.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-24.json","False","Missing input properties: sample","Function DateTime"
"Sample-25","Sample-25.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-25.json","False","Missing input properties: sample","function newGuid()"
"Sample-26","Sample-26.json","set","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\set\Sample-26.json","False","Missing input properties: sample","Use partial function to get only the desired properties"
"Sample-27","Sample-27.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-27.json","False","Missing input properties: sample","Use partial function to add only the desired properties from another object"
"Sample-28","Sample-28.json","set","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\set\Sample-28.json","False","Missing input properties: sample","Use promote function on all items in an array"
"Sample-29","Sample-29.json","set","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\set\Sample-29.json","False","Missing input properties: sample","Use promote function to promote primitive input object "
"Sample-3","Sample-3.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-3.json","False","Missing input properties: myObject","Create a new object using the JSON-path notation"
"Sample-30","Sample-30.json","merge","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\merge\Sample-30.json","False","System.Object[]","Merge two arrays with keys only values"
"Sample-31","Sample-31.json","set","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\set\Sample-31.json","False","Missing input properties: source","Fetch function on array and transform objects"
"Sample-32","Sample-32.json","decisionTable","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\decisionTable\Sample-32.json","False","Missing input properties: customer","sample of decision table"
"Sample-33","Sample-33.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-33.json","False","Missing input properties: myObject","Add nested object with multiple properties"
"Sample-34","Sample-34.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-34.json","False","Missing input properties: myObject","Add array to new object"
"Sample-35","Sample-35.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-35.json","False","Missing input properties: sample","Add boolean property to object"
"Sample-36","Sample-36.json","set","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\set\Sample-36.json","False","Missing input properties: person","Set multiple properties in sequence"
"Sample-37","Sample-37.json","concat","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\concat\Sample-37.json","False","Missing input properties: person","Set property using concat function"
"Sample-38","Sample-38.json","set","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\set\Sample-38.json","False","Missing input properties: location","Set entire nested object"
"Sample-39","Sample-39.json","put","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\put\Sample-39.json","False","Missing input properties: item","Put new property to object"
"Sample-4","Sample-4.json","set","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\set\Sample-4.json","False","Missing input properties: sample","Set property value on existing object"
"Sample-40","Sample-40.json","put","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\put\Sample-40.json","False","Missing input properties: task","Put to update existing property"
"Sample-41","Sample-41.json","datetime","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\datetime\Sample-41.json","False","Missing input properties: log","Put with datetime function"
"Sample-42","Sample-42.json","remove","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\remove\Sample-42.json","False","Missing input properties: user","Remove property from object"
"Sample-44","Sample-44.json","remove","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\remove\Sample-44.json","False","Missing input properties: list","Remove item from array by index"
"Sample-45","Sample-45.json","concat","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\concat\Sample-45.json","False","Missing input properties: displayPrice","Copy and transform value"
"Sample-47","Sample-47.json","copy","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\copy\Sample-47.json","False","Missing input properties: data","Copy filtered array items"
"Sample-51","Sample-51.json","merge","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\merge\Sample-51.json","False","System.Object[]","Merge two objects"
"Sample-52","Sample-52.json","merge","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\merge\Sample-52.json","False","System.Object[]","Merge arrays with key-based matching"
"Sample-53","Sample-53.json","merge","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\merge\Sample-53.json","False","System.Object[]","Merge nested configuration objects"
"Sample-54","Sample-54.json","decisionTable","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\decisionTable\Sample-54.json","False","Missing input properties: shipments","Decision table for shipping cost calculation"
"Sample-55","Sample-55.json","decisionTable","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\decisionTable\Sample-55.json","False","Missing input properties: employees","Decision table for employee benefits"
"Sample-56","Sample-56.json","decisionTable","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\decisionTable\Sample-56.json","False","Missing input properties: orders","Decision table for product pricing"
"Sample-57","Sample-57.json","datetime","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\datetime\Sample-57.json","False","Missing input properties: record","Datetime with custom formatting"
"Sample-58","Sample-58.json","datetime","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\datetime\Sample-58.json","False","Missing input properties: logs","Add datetime to array items"
"Sample-59","Sample-59.json","datetime","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\datetime\Sample-59.json","False","Missing input properties: audit","Datetime for audit records"
"Sample-6","Sample-6.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-6.json","False","Missing input properties: sample","Add a property to items in an array"
"Sample-60","Sample-60.json","newGuid","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\newGuid\Sample-60.json","False","Missing input properties: items","Generate unique IDs for array items"
"Sample-61","Sample-61.json","newGuid","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\newGuid\Sample-61.json","False","Missing input properties: session","Create session with multiple GUIDs"
"Sample-62","Sample-62.json","newGuid","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\newGuid\Sample-62.json","False","Missing input properties: transaction","Add correlation ID to transaction"
"Sample-63","Sample-63.json","concat","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\concat\Sample-63.json","False","Missing input properties: address","Concat for full address"
"Sample-64","Sample-64.json","concat","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\concat\Sample-64.json","False","Missing input properties: result","Concat numbers and strings for messages"
"Sample-65","Sample-65.json","concat","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\concat\Sample-65.json","False","Missing input properties: endpoint","Concat for building URLs"
"Sample-66","Sample-66.json","fetch","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\fetch\Sample-66.json","False","Missing input properties: data","Fetch nested values"
"Sample-67","Sample-67.json","fetch","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\fetch\Sample-67.json","False","Missing input properties: orderItems","Fetch from array items"
"Sample-68","Sample-68.json","fetch","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\fetch\Sample-68.json","False","Missing input properties: source","Fetch to restructure data"
"Sample-69","Sample-69.json","parse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\parse\Sample-69.json","False","Missing input properties: data","Parse JSON string to object"
"Sample-7","Sample-7.json","set","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\set\Sample-7.json","False","Missing input properties: sample","Set a property value to an item in an array using a filter"
"Sample-70","Sample-70.json","parse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\parse\Sample-70.json","False","Missing input properties: settings","Parse configuration from string"
"Sample-71","Sample-71.json","parse","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\parse\Sample-71.json","False","Missing input properties: data","Parse array from JSON string"
"Sample-72","Sample-72.json","toString","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\toString\Sample-72.json","False","Missing input properties: data","Convert numbers to strings"
"Sample-73","Sample-73.json","toString","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\toString\Sample-73.json","False","Missing input properties: config","ToString for boolean and number values"
"Sample-74","Sample-74.json","toString","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\toString\Sample-74.json","False","Missing input properties: weather","ToString with concat for formatting"
"Sample-75","Sample-75.json","partial","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\partial\Sample-75.json","False","Missing input properties: data","Partial to extract specific fields"
"Sample-76","Sample-76.json","partial","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\partial\Sample-76.json","False","Missing input properties: banking","Partial for data sanitization"
"Sample-77","Sample-77.json","partial","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\partial\Sample-77.json","False","Missing input properties: users","Partial on array items"
"Sample-78","Sample-78.json","promote","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\promote\Sample-78.json","False","Missing input properties: fruits","Promote strings to objects"
"Sample-79","Sample-79.json","promote","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\promote\Sample-79.json","False","Missing input properties: test","Promote numbers to score objects"
"Sample-8","Sample-8.json","add","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\add\Sample-8.json","False","Missing input properties: sample","Add a value to an array"
"Sample-80","Sample-80.json","promote","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\promote\Sample-80.json","False","Missing input properties: sensor","Promote primitive to named property"
"Sample-81","Sample-81.json","math","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math\Sample-81.json","False","Missing input properties: order","Math operations for order calculation"
"Sample-82","Sample-82.json","math","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math\Sample-82.json","False","Missing input properties: weather","Min and Max calculations"
"Sample-83","Sample-83.json","math","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\math\Sample-83.json","False","Missing input properties: data","Absolute value and rounding functions"
"Sample-84","Sample-84.json","text","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\text\Sample-84.json","False","Missing input properties: data","Substring and trim text functions"
"Sample-85","Sample-85.json","text","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\text\Sample-85.json","False","Missing input properties: user","Text case conversion functions"
"Sample-86","Sample-86.json","text","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\text\Sample-86.json","False","Missing input properties: data","Replace and pad text functions"
"Sample-87","Sample-87.json","text","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\text\Sample-87.json","False","Missing input properties: file","Left and right string extraction"
"Sample-88","Sample-88.json","text","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\text\Sample-88.json","False","Missing input properties: credentials","Text length and contains validation"
"Sample-89","Sample-89.json","text","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\functions\text\Sample-89.json","False","Missing input properties: data","Insert and delete text operations"
"Sample-9","Sample-9.json","set","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\set\Sample-9.json","False","Missing input properties: sample","Set a property value to an array"
"Sample-96","Sample-96.json","put","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\put\Sample-96.json","False","Missing input properties: record","Put nested object structure"
"Sample-97","Sample-97.json","put","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\put\Sample-97.json","False","Missing input properties: project","Put array property"
"Sample-98","Sample-98.json","put","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\put\Sample-98.json","False","Missing input properties: counter","Put conditional status value"
"Sample-99","Sample-99.json","remove","C:\Repos\Private\Jlio-online\Client\wwwroot\samples\commands\remove\Sample-99.json","False","Missing input properties: obj","Remove nested object"
